MUNICIPIO,MAPE
TOTA,76093319109.6
MONGUI,111384563540.0
SOGAMOSO,114206070084.8
NOBSA,157853432665.6
IZA,174024002590.8
DUITAMA,476024671460.8
VILLA DE LEYVA,494593287472.0
TUNJA,646875355934.6
AQUITANIA,733780417153.6
PAIPA,1972867416124.2
