ds,VISITAS,TIPO,LONGITUD,LATITUD,MUNICIPIO,INTENSIDAD_GLOB,MES_STR,INTENSIDAD_MES
2023-03-01,16.000522648599333,OBS,-73.05431038,5.095234631,PAIPA,0.021573505154958338,2023-03,0.4571777321228824
2023-04-01,14.004779184510532,OBS,-73.05431038,5.095234631,PAIPA,0.018882644183972296,2023-04,0.22229611612171415
2023-05-01,16.001302033736465,OBS,-73.05431038,5.095234631,PAIPA,0.021574555999961522,2023-05,0.4000350965051843
2023-06-01,62.00368392496215,OBS,-73.05431038,5.095234631,PAIPA,0.08359956884900091,2023-06,1.0
2023-07-01,86.0030735489106,OBS,-73.05431038,5.095234631,PAIPA,0.11595794658070764,2023-07,1.0
2023-08-01,126.00259417107216,OBS,-73.05431038,5.095234631,PAIPA,0.1698893014051455,2023-08,1.0
2023-09-01,86.00589263408567,OBS,-73.05431038,5.095234631,PAIPA,0.1159617475533316,2023-09,1.0
2023-10-01,57.00257629640501,OBS,-73.05431038,5.095234631,PAIPA,0.07685657528718601,2023-10,1.0
2023-11-01,62.00549492418576,OBS,-73.05431038,5.095234631,PAIPA,0.08360201061930707,2023-11,1.0
2023-12-01,59.00318080444378,OBS,-73.05431038,5.095234631,PAIPA,0.07955399040387193,2023-12,1.0
2024-01-01,0.002187081271173952,OBS,-73.05431038,5.095234631,PAIPA,2.9488417418736274e-06,2024-01,1.0
2024-02-01,0.005986289740762096,OBS,-73.05431038,5.095234631,PAIPA,8.071314632507366e-06,2024-02,1.0
2024-03-01,0.0005879203077192585,OBS,-73.05431038,5.095234631,PAIPA,7.926929680885402e-07,2024-03,1.0
2024-04-01,78.00473953254712,OBS,-73.05431038,5.095234631,PAIPA,0.10517379259257517,2024-04,0.6393911472897628
2024-05-01,76.00134136232474,OBS,-73.05431038,5.095234631,PAIPA,0.1024726107810854,2024-05,1.0
2024-06-01,73.00374414028616,OBS,-73.05431038,5.095234631,PAIPA,0.09843095035896168,2024-06,1.0
2024-07-01,35.00316057846391,OBS,-73.05431038,5.095234631,PAIPA,0.04719476243142782,2024-07,0.972287985837569
2024-08-01,29.00250280743826,OBS,-73.05431038,5.095234631,PAIPA,0.03910407538329598,2024-08,1.0
2024-09-01,96.00599902841327,OBS,-73.05431038,5.095234631,PAIPA,0.1294448912972045,2024-09,1.0
2024-10-01,56.00258416723272,OBS,-73.05431038,5.095234631,PAIPA,0.07550828587018345,2024-10,1.0
2024-11-01,397.4040670340101,PRED,-73.05431038,5.095234631,PAIPA,0.5358199152019657,2024-11,1.0
2024-12-01,-135.9707495235078,PRED,-73.05431038,5.095234631,PAIPA,-0.18332936555830118,2024-12,-1.435325718733764
2025-01-01,83.08652146918385,PRED,-73.05431038,5.095234631,PAIPA,0.1120255593263327,2025-01,0.8418041108628463
2025-02-01,-43.94577635313466,PRED,-73.05431038,5.095234631,PAIPA,-0.05925209154189656,2025-02,-0.9129575001178607
2025-03-01,-198.8003420301539,PRED,-73.05431038,5.095234631,PAIPA,-0.26804250697213594,2025-03,-0.50701654447918
