MES,AÑO,MUNICIPIO,VISITAS
3,2023,AQUITANIA,35
3,2023,CHIQUINQUIRA,3
3,2023,COMBITA,1
3,2023,CUITIVA,13
3,2023,DUITAMA,7
3,2023,FIRAVITOBA,2
3,2023,IZA,22
3,2023,MONGUI,8
3,2023,NOBSA,7
3,2023,PAIPA,16
3,2023,PAJARITO,1
3,2023,RAQUIRA,8
3,2023,SABOYA,1
3,2023,SACHICA,4
3,2023,SAMACA,1
3,2023,SANTA SOFIA,1
3,2023,SOGAMOSO,16
3,2023,SUTAMARCHAN,3
3,2023,TIBASOSA,5
3,2023,TOTA,17
3,2023,TUNJA,15
3,2023,VENTAQUEMADA,4
3,2023,VILLA DE LEYVA,22
4,2023,AQUITANIA,63
4,2023,CHIQUINQUIRA,1
4,2023,CUCAITA,1
4,2023,CUITIVA,25
4,2023,DUITAMA,10
4,2023,FIRAVITOBA,6
4,2023,IZA,45
4,2023,MONGUI,20
4,2023,MONIQUIRA,3
4,2023,NOBSA,26
4,2023,PAIPA,14
4,2023,RAQUIRA,5
4,2023,SACHICA,4
4,2023,SOGAMOSO,17
4,2023,SOMONDOCO,1
4,2023,SUTAMARCHAN,4
4,2023,TOTA,37
4,2023,TUNJA,11
4,2023,VENTAQUEMADA,2
4,2023,VILLA DE LEYVA,38
5,2023,AQUITANIA,40
5,2023,BETEITIVA,1
5,2023,CHIQUINQUIRA,6
5,2023,CUITIVA,14
5,2023,DUITAMA,5
5,2023,FIRAVITOBA,4
5,2023,IZA,26
5,2023,MONGUI,20
5,2023,MONIQUIRA,1
5,2023,NOBSA,13
5,2023,PAIPA,16
5,2023,RAQUIRA,9
5,2023,SACHICA,5
5,2023,SANTA SOFIA,1
5,2023,SOGAMOSO,6
5,2023,SUTAMARCHAN,5
5,2023,TIBASOSA,3
5,2023,TINJACA,1
5,2023,TOTA,14
5,2023,TUNJA,15
5,2023,VILLA DE LEYVA,31
6,2023,AQUITANIA,41
6,2023,BELEN,1
6,2023,BUSBANZA,1
6,2023,CERINZA,2
6,2023,CHIQUINQUIRA,4
6,2023,COMBITA,1
6,2023,CORRALES,1
6,2023,CUBARA,2
6,2023,CUITIVA,5
6,2023,DUITAMA,35
6,2023,FIRAVITOBA,3
6,2023,IZA,22
6,2023,MONGUI,22
6,2023,MONIQUIRA,3
6,2023,NOBSA,18
6,2023,PAIPA,62
6,2023,RAMIRIQUI,1
6,2023,RAQUIRA,10
6,2023,SACHICA,2
6,2023,SANTA ROSA DE VITERBO,1
6,2023,SANTA SOFIA,2
6,2023,SATIVANORTE,1
6,2023,SOATA,1
6,2023,SOGAMOSO,12
6,2023,SOMONDOCO,1
6,2023,SUTAMARCHAN,2
6,2023,TIBASOSA,8
6,2023,TOCA,1
6,2023,TOTA,31
6,2023,TUNJA,37
6,2023,VENTAQUEMADA,3
6,2023,VILLA DE LEYVA,41
7,2023,AQUITANIA,44
7,2023,ARCABUCO,1
7,2023,BOAVITA,1
7,2023,BOYACA,6
7,2023,CHIQUINQUIRA,7
7,2023,CUITIVA,10
7,2023,DUITAMA,55
7,2023,FIRAVITOBA,4
7,2023,IZA,26
7,2023,LA UVITA,1
7,2023,MONGUI,28
7,2023,NOBSA,14
7,2023,PAIPA,86
7,2023,PESCA,2
7,2023,RAMIRIQUI,1
7,2023,RAQUIRA,17
7,2023,SACHICA,4
7,2023,SAMACA,3
7,2023,SANTA ROSA DE VITERBO,2
7,2023,SANTANA,1
7,2023,SOGAMOSO,22
7,2023,SUTAMARCHAN,4
7,2023,TIBASOSA,11
7,2023,TOTA,34
7,2023,TUNJA,57
7,2023,TUNUNGUA,1
7,2023,TUTA,2
7,2023,VENTAQUEMADA,17
7,2023,VILLA DE LEYVA,74
8,2023,ALMEIDA,3
8,2023,AQUITANIA,89
8,2023,ARCABUCO,3
8,2023,BELEN,5
8,2023,CERINZA,1
8,2023,CHIQUINQUIRA,13
8,2023,CHIQUIZA,1
8,2023,CHITARAQUE,1
8,2023,CHIVOR,2
8,2023,COMBITA,4
8,2023,CORRALES,2
8,2023,CUITIVA,30
8,2023,DUITAMA,65
8,2023,EL COCUY,5
8,2023,FIRAVITOBA,22
8,2023,FLORESTA,2
8,2023,GARAGOA,8
8,2023,GUATEQUE,13
8,2023,GUAYATA,8
8,2023,IZA,76
8,2023,LA CAPILLA,3
8,2023,MACANAL,5
8,2023,MIRAFLORES,1
8,2023,MONGUI,57
8,2023,MONIQUIRA,4
8,2023,NOBSA,46
8,2023,PACHAVITA,1
8,2023,PAIPA,126
8,2023,PESCA,2
8,2023,RAMIRIQUI,3
8,2023,RAQUIRA,16
8,2023,SABOYA,1
8,2023,SACHICA,3
8,2023,SAMACA,1
8,2023,SAN EDUARDO,1
8,2023,SAN JOSE DE PARE,1
8,2023,SAN LUIS DE GACENO,3
8,2023,SANTA MARIA,4
8,2023,SANTA ROSA DE VITERBO,1
8,2023,SANTA SOFIA,3
8,2023,SOATA,1
8,2023,SOGAMOSO,29
8,2023,SOMONDOCO,1
8,2023,SUTAMARCHAN,1
8,2023,SUTATENZA,4
8,2023,TASCO,1
8,2023,TENZA,3
8,2023,TIBANA,1
8,2023,TIBASOSA,68
8,2023,TOCA,1
8,2023,TOTA,37
8,2023,TUNJA,65
8,2023,TUTA,1
8,2023,VENTAQUEMADA,10
8,2023,VILLA DE LEYVA,82
9,2023,AQUITANIA,52
9,2023,ARCABUCO,3
9,2023,BELEN,4
9,2023,BERBEO,1
9,2023,BOYACA,2
9,2023,BRICENO,2
9,2023,CERINZA,7
9,2023,CHINAVITA,1
9,2023,CHIQUINQUIRA,7
9,2023,CHIQUIZA,3
9,2023,CHISCAS,6
9,2023,CHITA,2
9,2023,CHITARAQUE,1
9,2023,CHIVOR,2
9,2023,COMBITA,6
9,2023,CORRALES,2
9,2023,CUCAITA,5
9,2023,CUITIVA,25
9,2023,DUITAMA,48
9,2023,EL COCUY,6
9,2023,EL ESPINO,4
9,2023,FIRAVITOBA,14
9,2023,FLORESTA,1
9,2023,GAMEZA,4
9,2023,GARAGOA,8
9,2023,GUACAMAYAS,1
9,2023,GUATEQUE,8
9,2023,GUAYATA,1
9,2023,GUICAN,2
9,2023,IZA,44
9,2023,LA CAPILLA,1
9,2023,MACANAL,2
9,2023,MARIPI,3
9,2023,MIRAFLORES,3
9,2023,MONGUA,2
9,2023,MONGUI,45
9,2023,MONIQUIRA,12
9,2023,MUZO,1
9,2023,NOBSA,34
9,2023,PACHAVITA,1
9,2023,PAIPA,86
9,2023,PAJARITO,2
9,2023,PAUNA,1
9,2023,PAZ DE RIO,1
9,2023,PESCA,3
9,2023,PUERTO BOYACA,1
9,2023,RAMIRIQUI,7
9,2023,RAQUIRA,17
9,2023,SACHICA,2
9,2023,SAMACA,9
9,2023,SAN LUIS DE GACENO,1
9,2023,SANTA MARIA,2
9,2023,SANTA SOFIA,1
9,2023,SOATA,2
9,2023,SOGAMOSO,15
9,2023,SOMONDOCO,2
9,2023,SOTAQUIRA,1
9,2023,SUSACON,1
9,2023,SUTAMARCHAN,3
9,2023,SUTATENZA,1
9,2023,TENZA,1
9,2023,TIBASOSA,29
9,2023,TINJACA,1
9,2023,TOGUI,1
9,2023,TOPAGA,1
9,2023,TOTA,23
9,2023,TUNJA,41
9,2023,TUNUNGUA,1
9,2023,TUTA,3
9,2023,TUTAZA,1
9,2023,UMBITA,1
9,2023,VENTAQUEMADA,3
9,2023,VILLA DE LEYVA,57
9,2023,ZETAQUIRA,1
10,2023,AQUITANIA,23
10,2023,BOAVITA,1
10,2023,BOYACA,1
10,2023,BUSBANZA,1
10,2023,CHIQUINQUIRA,5
10,2023,CUITIVA,5
10,2023,DUITAMA,34
10,2023,FIRAVITOBA,3
10,2023,GUICAN,1
10,2023,IZA,20
10,2023,MIRAFLORES,1
10,2023,MONGUI,12
10,2023,MONIQUIRA,1
10,2023,NOBSA,9
10,2023,PAIPA,57
10,2023,RAQUIRA,9
10,2023,SACHICA,4
10,2023,SANTA ROSA DE VITERBO,2
10,2023,SOGAMOSO,11
10,2023,SUTAMARCHAN,1
10,2023,TIBASOSA,21
10,2023,TOTA,14
10,2023,TUNJA,25
10,2023,UMBITA,1
10,2023,VENTAQUEMADA,4
10,2023,VILLA DE LEYVA,38
11,2023,ALMEIDA,2
11,2023,AQUITANIA,38
11,2023,ARCABUCO,1
11,2023,CHIQUINQUIRA,4
11,2023,CHITARAQUE,1
11,2023,CHIVOR,2
11,2023,CORRALES,1
11,2023,CUITIVA,11
11,2023,DUITAMA,52
11,2023,FIRAVITOBA,9
11,2023,GARAGOA,1
11,2023,GUATEQUE,3
11,2023,IZA,28
11,2023,MACANAL,1
11,2023,MIRAFLORES,1
11,2023,MONGUA,2
11,2023,MONGUI,25
11,2023,MONIQUIRA,1
11,2023,NOBSA,15
11,2023,PAIPA,62
11,2023,PESCA,1
11,2023,RAQUIRA,10
11,2023,SABOYA,1
11,2023,SACHICA,2
11,2023,SANTA SOFIA,2
11,2023,SOGAMOSO,10
11,2023,SOMONDOCO,1
11,2023,SORACA,1
11,2023,SUTAMARCHAN,2
11,2023,TIBASOSA,14
11,2023,TOPAGA,1
11,2023,TOTA,14
11,2023,TUNJA,26
11,2023,VENTAQUEMADA,14
11,2023,VILLA DE LEYVA,41
12,2023,AQUITANIA,31
12,2023,BELEN,2
12,2023,BUSBANZA,1
12,2023,CHIQUINQUIRA,2
12,2023,CORRALES,8
12,2023,CUITIVA,14
12,2023,DUITAMA,50
12,2023,EL COCUY,3
12,2023,FIRAVITOBA,7
12,2023,FLORESTA,1
12,2023,GARAGOA,1
12,2023,GUICAN,1
12,2023,IZA,23
12,2023,JENESANO,1
12,2023,MONGUA,2
12,2023,MONGUI,18
12,2023,MONIQUIRA,3
12,2023,NOBSA,18
12,2023,PAIPA,59
12,2023,PAZ DE RIO,1
12,2023,RAQUIRA,8
12,2023,SACHICA,2
12,2023,SANTA ROSA DE VITERBO,2
12,2023,SANTA SOFIA,1
12,2023,SOGAMOSO,17
12,2023,TIBASOSA,12
12,2023,TOTA,6
12,2023,TUNJA,24
12,2023,VENTAQUEMADA,3
12,2023,VILLA DE LEYVA,37
4,2024,ALMEIDA,1
4,2024,AQUITANIA,37
4,2024,BELEN,1
4,2024,BETEITIVA,1
4,2024,BOAVITA,1
4,2024,BOYACA,2
4,2024,CERINZA,2
4,2024,CHIQUINQUIRA,11
4,2024,CUITIVA,7
4,2024,DUITAMA,50
4,2024,EL COCUY,2
4,2024,FIRAVITOBA,5
4,2024,GAMEZA,1
4,2024,GUICAN,1
4,2024,IZA,20
4,2024,JENESANO,2
4,2024,MIRAFLORES,1
4,2024,MONGUA,1
4,2024,MONGUI,30
4,2024,MONIQUIRA,2
4,2024,NOBSA,8
4,2024,PAIPA,78
4,2024,PAJARITO,2
4,2024,PESCA,2
4,2024,RAQUIRA,18
4,2024,SACHICA,2
4,2024,SANTA ROSA DE VITERBO,1
4,2024,SOGAMOSO,22
4,2024,SOTAQUIRA,1
4,2024,SUTAMARCHAN,1
4,2024,TASCO,1
4,2024,TIBASOSA,13
4,2024,TOCA,2
4,2024,TOTA,19
4,2024,TUNJA,122
4,2024,VENTAQUEMADA,1
4,2024,VILLA DE LEYVA,61
5,2024,AQUITANIA,21
5,2024,BETEITIVA,1
5,2024,BOYACA,1
5,2024,CERINZA,1
5,2024,CHIQUINQUIRA,4
5,2024,CUITIVA,3
5,2024,DUITAMA,47
5,2024,FIRAVITOBA,2
5,2024,IZA,18
5,2024,MIRAFLORES,1
5,2024,MONGUI,17
5,2024,MONIQUIRA,3
5,2024,NOBSA,13
5,2024,PAIPA,76
5,2024,RAMIRIQUI,1
5,2024,RAQUIRA,9
5,2024,SACHICA,1
5,2024,SANTA SOFIA,1
5,2024,SOGAMOSO,13
5,2024,SORACA,1
5,2024,TIBASOSA,9
5,2024,TOTA,11
5,2024,TUNJA,68
5,2024,TUTA,2
5,2024,VENTAQUEMADA,3
5,2024,VILLA DE LEYVA,37
6,2024,AQUITANIA,21
6,2024,BELEN,1
6,2024,BOYACA,2
6,2024,CERINZA,1
6,2024,CHIQUINQUIRA,3
6,2024,CORRALES,2
6,2024,CUCAITA,1
6,2024,CUITIVA,5
6,2024,DUITAMA,46
6,2024,EL COCUY,1
6,2024,FIRAVITOBA,4
6,2024,IZA,19
6,2024,MONGUI,31
6,2024,MONIQUIRA,1
6,2024,NOBSA,14
6,2024,PAIPA,73
6,2024,RAQUIRA,4
6,2024,SAMACA,2
6,2024,SOATA,1
6,2024,SOGAMOSO,15
6,2024,SORACA,1
6,2024,TIBASOSA,6
6,2024,TOTA,13
6,2024,TUNJA,38
6,2024,TUTA,1
6,2024,VENTAQUEMADA,1
6,2024,VILLA DE LEYVA,24
7,2024,AQUITANIA,36
7,2024,ARCABUCO,1
7,2024,BELEN,7
7,2024,BERBEO,1
7,2024,BETEITIVA,1
7,2024,BOYACA,3
7,2024,CERINZA,2
7,2024,CHINAVITA,1
7,2024,CHIQUINQUIRA,1
7,2024,COMBITA,1
7,2024,CUITIVA,17
7,2024,DUITAMA,36
7,2024,FIRAVITOBA,10
7,2024,IZA,27
7,2024,MONGUI,16
7,2024,NOBSA,9
7,2024,PAIPA,35
7,2024,RAQUIRA,4
7,2024,SAMACA,1
7,2024,SANTA SOFIA,1
7,2024,SOATA,1
7,2024,SOGAMOSO,6
7,2024,TIBASOSA,9
7,2024,TOCA,1
7,2024,TOTA,8
7,2024,TUNJA,6
7,2024,VENTAQUEMADA,1
7,2024,VILLA DE LEYVA,5
8,2024,AQUITANIA,23
8,2024,BELEN,1
8,2024,BOYACA,2
8,2024,CHIQUINQUIRA,7
8,2024,CORRALES,1
8,2024,CUITIVA,5
8,2024,DUITAMA,27
8,2024,FIRAVITOBA,5
8,2024,IZA,24
8,2024,MONGUA,1
8,2024,MONGUI,10
8,2024,NOBSA,8
8,2024,PAIPA,29
8,2024,PESCA,1
8,2024,RAMIRIQUI,1
8,2024,RAQUIRA,8
8,2024,SACHICA,1
8,2024,SANTA SOFIA,1
8,2024,SOGAMOSO,5
8,2024,SUTAMARCHAN,3
8,2024,TIBASOSA,5
8,2024,TOTA,7
8,2024,TUNJA,17
8,2024,VILLA DE LEYVA,16
9,2024,AQUITANIA,22
9,2024,BELEN,1
9,2024,BOYACA,11
9,2024,CERINZA,1
9,2024,CHIQUINQUIRA,5
9,2024,COMBITA,1
9,2024,CUITIVA,6
9,2024,DUITAMA,45
9,2024,FIRAVITOBA,4
9,2024,IZA,15
9,2024,MONGUI,7
9,2024,NOBSA,7
9,2024,PAIPA,96
9,2024,RAMIRIQUI,1
9,2024,RAQUIRA,10
9,2024,SAMACA,1
9,2024,SOGAMOSO,21
9,2024,SOMONDOCO,1
9,2024,SUTAMARCHAN,2
9,2024,TIBASOSA,12
9,2024,TOCA,1
9,2024,TOTA,6
9,2024,TUNJA,34
9,2024,TUTA,1
9,2024,VENTAQUEMADA,5
9,2024,VILLA DE LEYVA,24
9,2024,ZETAQUIRA,1
10,2024,AQUITANIA,35
10,2024,BERBEO,1
10,2024,BOYACA,3
10,2024,CERINZA,1
10,2024,CHIQUINQUIRA,10
10,2024,CORRALES,1
10,2024,CUITIVA,15
10,2024,DUITAMA,40
10,2024,FIRAVITOBA,4
10,2024,GUAYATA,2
10,2024,IZA,20
10,2024,MONGUI,13
10,2024,MONIQUIRA,2
10,2024,NOBSA,13
10,2024,PAIPA,56
10,2024,PAZ DE RIO,1
10,2024,PUERTO BOYACA,1
10,2024,RAQUIRA,24
10,2024,SACHICA,5
10,2024,SAMACA,2
10,2024,SOGAMOSO,16
10,2024,SUTAMARCHAN,7
10,2024,TIBASOSA,13
10,2024,TOPAGA,1
10,2024,TOTA,9
10,2024,TUNJA,38
10,2024,VENTAQUEMADA,10
10,2024,VILLA DE LEYVA,37
